Sample number,X1,X2,X3,X4,Y
178.0,2769718.655654283,3001438.1183916177,3111740.0880070147,3316854.3090875917,2461840.264994559
179.0,2618429.0330660604,2869106.894280737,3091725.752198118,3225790.210628665,2341361.7370419297
180.0,2737114.959122143,2852300.1896917075,2932956.8593079257,3050568.4759873375,2376616.313427839
181.0,2927025.030982996,3107845.478692346,3310288.5581289595,3383234.120740435,2482246.4978059614
182.0,2472419.6466571963,2661711.1130691483,2842948.7139878147,2901066.8490071497,2257956.3083696854
183.0,2733503.201460272,2915501.8006277448,3032603.2802690645,3169345.20207319,2460112.699999679
184.0,2432044.500124682,2673090.954588822,2797018.054987729,2971126.693420937,2181672.0960880057
185.0,2707644.44169241,2817114.3288988015,2914375.2923619514,3018009.866548548,2413423.0396090397
186.0,2352687.508259819,2503047.812317092,2645848.4266193174,2740276.3655289155,2019957.7501055077
187.0,2820443.569267294,3011152.4473342155,3206031.8225814053,3197489.9826306775,2516235.747366846
188.0,2481295.704840803,2618015.7134987316,2767881.6943888473,2860187.789866669,2203610.8990973863
189.0,2586922.0173557755,2741471.534049291,2834426.676696419,2986116.515882155,2223481.1903204094
190.0,2688979.326823143,2843432.1405948075,2956282.389568214,3146814.7743074745,2367799.926977819
191.0,2819730.369056429,2997178.7241767617,3100684.0894722035,3289520.093215984,2484746.4850165863
192.0,2488525.8308991925,2696554.4917423297,2937136.9013810838,3045919.075455554,2171352.583943301
193.0,2519292.168204675,2660949.129349233,2770986.1683440325,2864862.01384,2262563.248502834
194.0,2957640.577676702,3179079.653201474,3417737.2509419895,3448672.300293966,2670781.3537525916
195.0,2547487.835063949,2737107.0250192424,2886957.492045976,2999193.693792755,2290682.792213195
196.0,2638074.4170591542,2815454.640208591,2968484.3093165965,3160263.5482846415,2300614.6382394233
197.0,2739475.842144993,2918628.4146978715,3046297.0371703813,3131532.564919925,2465388.6204947564
198.0,2481944.7845854782,2637964.3547725934,2748288.0049610916,2851192.2538502943,2187970.4488971643
199.0,2764992.09540893,2954787.0001577684,3188887.411709543,3227437.185797311,2426696.582861716
200.0,2629705.857011381,2873755.64608369,3025015.456454898,3249234.346909911,2395606.1411472615
201.0,2647044.129208292,2864781.0746822953,3034884.8808283014,3128917.3949614842,2351612.177950226
202.0,2558248.716117972,2771574.8048130632,2965546.71439941,3085399.6704918095,2236213.345694179
203.0,2733530.9111571335,2901331.9063129574,3027512.0326155233,3101786.848627314,2456885.544444704
204.0,2590458.8914959487,2827576.373633792,2986092.5018098373,3182630.067801364,2258014.133218619
205.0,2503476.140327924,2734942.9804537687,2925332.4400392487,3104876.835336349,2230819.920251538
206.0,2801439.634222311,2995987.9147295374,3134109.7599623143,3176802.4994741175,2501057.0344270905
207.0,2568189.5659529297,2778923.518410598,2908428.281924964,3089452.848689632,2303816.260380827
208.0,2832321.6130119893,3060437.77588371,3222616.514151665,3413289.6786106937,2539072.123699767
209.0,2750604.0936186584,2900108.7200418646,3039532.7161857774,3078194.5189599684,2403828.2529416163
210.0,2821862.9660173496,3009518.9241799815,3134838.6629936215,3180031.408504333,2491200.074133162
211.0,2488972.8234322434,2667616.1764034275,2758048.19998451,2895537.6539821182,2268842.248112586
212.0,2578591.296117221,2816429.8501559785,2953307.6477375003,3225861.7921788115,2309708.945453188
213.0,2488403.0369915646,2691813.7968122927,2880660.48224422,2981064.691882555,2230997.6973124635
214.0,2687610.7785278214,2813738.8148939623,2901741.0528692417,3016917.4359664363,2327573.5521911704
215.0,2560196.642547969,2781829.9815245345,2937304.672311682,3104837.922089851,2297319.710744051
216.0,2799104.4401819976,3024487.997120462,3198757.9636111497,3231666.7982856752,2495161.278814471
217.0,2782211.0938354735,2935450.107222764,3142299.442089959,3246062.9259626316,2388611.406743382
218.0,2453960.951466277,2660542.78239758,2821354.5513942293,2942892.622357227,2240230.6219558413
219.0,2724277.645819711,2934058.469977331,3129420.7940759105,3183753.2822679323,2446320.765430588
220.0,2886574.426757723,3049636.2768929703,3240197.104597904,3309121.1998636397,2590261.275452118
221.0,2857814.88767094,3058872.1568048764,3188530.2413403117,3394562.507676988,2513695.871810804
222.0,2502969.0269667883,2637527.4376670867,2755474.263549378,2892257.2523058187,2225704.3353265533
223.0,2683546.892113646,2938772.1864344007,3139621.518883188,3282919.7265975815,2433019.1348241093
224.0,2477108.1384024736,2763305.924628736,2967541.6783777615,3152716.3701247494,2183572.3777778456
225.0,2799700.64431732,2976524.7198189455,3207899.5153189455,3280632.990087209,2404313.9067453886
226.0,2557864.4449268333,2716916.0869880486,2858297.7513188403,2992565.167953713,2192220.3794975984
227.0,2444687.0768512464,2615908.678193509,2788659.9944608724,2934297.7951417454,2143941.407048374
228.0,2477788.088646947,2743763.6964427046,2922019.6496406333,3182820.1467745416,2255789.4015920246
